parking_lot_source_id,parking_lot_name,camera_id,slot_number,x,y,width,height,coordinate_space,frame_width,frame_height,notes
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,14,1047,660,414,296,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,15,1302,614,392,287,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,16,1591,578,351,269,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,17,1912,553,334,250,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,18,2191,537,380,237,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,19,2445,533,430,220,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,20,2690,532,456,221,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,21,2914,535,470,233,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,22,3124,549,466,237,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,23,3312,563,455,241,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,24,3491,585,425,241,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,25,3259,439,375,167,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,26,3107,424,389,164,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,27,3407,458,357,160,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,28,3631,604,368,221,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,29,2934,412,380,152,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,30,2771,408,358,143,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,31,2565,405,349,131,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,32,2364,407,334,133,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,33,2161,414,288,143,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,34,1935,424,262,154,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,35,1692,445,268,174,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,36,1457,477,301,188,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,37,1241,509,325,201,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,38,1046,549,330,210,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,39,870,595,338,216,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,40,721,638,333,219,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,41,587,683,323,224,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,42,471,729,309,225,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,43,818,503,220,130,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,44,926,467,222,125,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,45,1040,433,227,119,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,46,1166,400,224,113,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,47,1039,402,196,104,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,48,1148,378,189,91,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,49,1266,346,189,88,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,50,1304,370,213,104,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,51,1386,322,185,84,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,52,1448,344,202,96,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,53,1518,300,170,74,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,54,1600,322,186,87,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,55,1648,278,164,68,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,56,1757,301,174,79,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,57,1784,262,152,63,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,58,1918,283,170,75,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,59,1926,246,147,58,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,60,2058,233,158,53,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,61,2070,270,183,64,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,62,2186,227,174,47,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,63,2214,260,204,64,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,64,2314,220,185,45,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,65,2355,258,223,58,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,66,2433,218,204,43,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,67,2496,256,234,57,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,68,2634,257,248,62,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,69,2554,217,217,43,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,70,2768,258,256,72,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,71,2890,266,268,77,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,72,3023,275,258,81,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,73,3132,287,266,88,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,74,3232,299,271,93,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,75,3340,315,264,98,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,76,3439,334,255,99,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,77,3540,355,232,98,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,78,2685,217,209,54,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,79,2788,218,236,61,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,80,2915,225,222,66,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,81,3020,232,214,70,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,82,3122,240,222,78,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,83,3210,250,233,86,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,84,3302,264,243,96,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,85,2849,167,147,35,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,86,2762,165,158,34,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,87,2578,160,150,27,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,88,2490,160,147,29,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,89,2387,158,145,32,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,90,2290,162,140,30,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,91,2194,166,126,32,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,92,2092,174,122,34,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,93,1990,183,114,36,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,94,1882,193,116,41,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,95,1774,207,124,44,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,96,1668,220,134,49,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,97,1566,236,141,54,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
ACPDS_PUBLIC_DATASET_DEMO_001,ACPDS公开数据集验证停车场,CAMERA_ACPDS_DEMO_001,98,1465,254,149,57,pixel,4000,3000,ACPDS公开数据集ROI：用于模型验证和平台写回演示
